"term","estimate_log_odds","std_error","t_value","p_value","ci95_lower_logit","ci95_upper_logit","odds_ratio","or_ci95_lower","or_ci95_upper","ci_method"
"(Intercept)",1.77087631067859,0.0811226072555198,21.8296276536168,1.05840825883911e-83,1.61164475038141,1.93010787097578,5.87600030770828,5.01104637403212,6.89025345985882,"Wald t, df=823"
"z_log1p_price",-0.0417282908896476,0.0420867598749939,-0.991482618609485,0.321741383299687,-0.124338313785482,0.0408817320061873,0.959130349625397,0.88308103185322,1.04172889507318,"Wald t, df=823"
"z_days_since_release",0.26113824694001,0.0369782541764261,7.061940936803,3.49499212949844e-12,0.188555457643902,0.333721036236117,1.29840715384245,1.2075040464592,1.39615361297774,"Wald t, df=823"
"platform_segmentWindows + macOS",0.192994604780871,0.0823312966922798,2.34412201112543,0.019308900573534,0.0313905676681427,0.3545986418936,1.21287624976832,1.03188844745774,1.42560835996986,"Wald t, df=823"
"platform_segmentWindows + Linux",0.714457847412537,0.132116390794928,5.40779113865987,8.36694180937975e-08,0.455133107259072,0.973782587566002,2.04307872152854,1.57638319711641,2.64794161089656,"Wald t, df=823"
"platform_segmentWindows + macOS + Linux",0.373154440164692,0.180846430519223,2.06337741415928,0.0393898709636822,0.0181799111157215,0.728128969213662,1.45230861729564,1.01834617170581,2.07120169788444,"Wald t, df=823"
"genre_action",0.0197571195806919,0.0611864509356147,0.322900238183154,0.746852813949558,-0.100342743837619,0.139856982999003,1.01995358318637,0.904527343727945,1.1501093019114,"Wald t, df=823"
"genre_adventure",0.00163286548073219,0.0652277347453264,0.0250333004374214,0.980034470334296,-0.126399434386487,0.129665165347951,1.00163419933147,0.881262769818478,1.13844712795146,"Wald t, df=823"
"genre_casual",0.0345669301371484,0.0751292857868695,0.460099277866285,0.645566490497949,-0.112900635373605,0.182034495647902,1.03517131021533,0.893239412107004,1.19965557606247,"Wald t, df=823"
"genre_indie",0.215300122656464,0.0745470951356616,2.88810881583861,0.00397729815066827,0.0689753104289018,0.361624934884026,1.24023406345723,1.07140975617444,1.43566037484281,"Wald t, df=823"
"genre_rpg",-0.23032194310162,0.0669770866376357,-3.43881698449687,0.000613624040577045,-0.361787959422797,-0.0988559267804431,0.79427784906224,0.696430023610898,0.905873210692328,"Wald t, df=823"
"genre_simulation",0.303380170883444,0.0709449251039155,4.27627727337893,2.12328710130608e-05,0.164125880351567,0.442634461415321,1.3544292811533,1.17836263846023,1.55680315869703,"Wald t, df=823"
"genre_strategy",-0.124238694681526,0.0741841683818148,-1.67473326710476,0.0943664829149294,-0.269851135903721,0.0213737465406689,0.883169007976312,0.763493142594258,1.02160380118092,"Wald t, df=823"
